2024-06-18 16:00:14 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:19 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:24 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:29 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:34 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:39 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:44 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:49 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:54 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:00:59 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:04 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:09 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:14 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:19 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:24 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:29 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:34 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:39 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:44 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:49 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:54 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:01:59 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:04 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:09 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:14 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:19 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:24 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:29 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:34 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:39 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:44 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:49 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:02:54 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:00 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:05 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:10 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:15 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:20 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:25 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:30 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:35 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:40 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:45 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:50 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:03:55 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:00 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:05 - Node ID: 44987, Temperature: 33, Humidity: 49, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:10 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:15 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:20 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:25 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:30 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:35 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:40 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:45 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:50 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:04:55 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:00 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:05 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:10 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:15 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:20 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:25 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:30 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:35 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:40 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:45 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:50 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:05:55 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:00 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:05 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:10 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:15 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:20 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:25 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:30 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:35 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:40 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:45 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:50 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:06:56 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:01 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:06 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:11 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:16 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:21 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:26 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:31 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:36 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:41 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:46 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:51 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:07:56 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:01 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:06 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:11 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:16 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:21 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:26 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:31 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:36 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:41 - Node ID: 44987, Temperature: 33, Humidity: 48, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:46 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:51 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:08:56 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
2024-06-18 16:09:01 - Node ID: 44987, Temperature: 33, Humidity: 47, Smoke: 58, Fire: 0, Alarm Bell: 0
